OvertakingSpeedMPS,OncomingSpeedMPS,InitialSeparationM,SuccessTF
27.5,23.4,237.0,True
28.3,25.3,205.5,False
27.7,24.3,200.8,False
29.8,18.8,259.3,True
30.0,32.1,174.4,False
18.9,18.2,216.2,True
20.2,25.8,277.6,True
18.5,29.1,187.8,True
23.0,30.4,261.2,True
18.4,22.5,177.6,True
21.0,22.6,178.9,True
27.4,19.0,141.8,False
28.7,27.4,272.1,True
31.8,27.6,199.8,False
27.2,22.2,201.2,False
32.1,29.4,159.6,False
19.7,29.3,225.9,True
26.1,19.2,167.2,False
19.9,27.7,210.0,True
27.7,18.9,278.7,True
19.8,29.4,227.2,True
28.7,29.4,195.2,False
30.6,32.1,229.2,False
23.7,19.8,267.5,True
31.4,28.1,252.6,False
29.7,27.7,220.5,False
31.1,18.1,250.0,True
30.0,21.8,217.0,False
28.3,26.4,263.8,True
29.1,21.8,194.7,False
19.6,25.5,162.0,False
28.3,23.5,263.1,True
28.8,25.2,251.8,True
32.5,18.1,161.2,False
30.4,28.8,212.5,False
22.4,21.3,149.5,False
29.7,28.2,250.5,False
22.5,24.0,148.2,False
32.1,29.0,159.5,False
24.7,18.2,172.6,False
20.6,20.5,206.9,True
24.4,20.7,259.9,True
24.2,22.7,279.3,True
20.5,25.4,183.9,True
20.2,31.9,166.1,False
22.7,19.1,227.8,True
28.6,29.1,189.2,False
27.7,25.2,154.7,False
28.2,26.8,160.5,False
20.1,18.6,232.2,True
27.7,20.0,140.4,False
32.7,20.7,212.0,False
19.7,32.3,177.7,False
25.4,25.5,159.6,False
31.0,28.5,223.6,False
23.1,23.2,219.5,True
28.3,18.8,197.0,False
23.6,25.5,183.3,False
24.0,20.2,193.5,True
24.5,23.3,275.0,True
22.8,26.6,223.6,True
29.9,27.2,237.0,False
25.8,30.3,206.2,False
18.9,21.4,201.3,True
20.8,28.1,154.6,False
27.3,23.2,157.5,False
30.0,24.3,222.0,False
29.3,23.4,202.4,False
22.5,23.0,195.7,True
19.0,27.7,192.0,True
22.6,25.1,180.9,False
24.0,29.5,162.8,False
19.9,20.8,167.6,True
19.7,26.1,260.9,True
32.1,29.5,184.5,False
26.4,29.0,221.7,False
30.4,20.0,162.5,False
27.9,21.9,257.2,True
23.2,27.7,140.2,False
19.7,32.3,233.0,True
18.1,21.7,275.6,True
20.5,19.6,178.7,True
23.5,29.2,140.3,False
20.9,33.0,219.2,True
28.8,31.9,256.9,False
22.9,30.0,261.1,True
30.3,27.7,245.8,False
30.3,32.7,200.2,False
27.7,28.6,214.4,False
18.8,18.9,153.9,True
18.9,23.1,199.0,True
33.0,30.1,214.6,False
28.2,27.4,171.4,False
19.5,31.8,178.1,False
28.5,23.0,229.1,False
25.0,19.2,221.2,True
31.8,19.3,208.6,False
25.3,28.9,141.6,False
26.5,31.5,159.6,False
22.3,24.3,230.2,True
