OvertakingSpeedMPS,OncomingSpeedMPS,InitialSeparationM,SuccessTF
30.3,29.5,241.7,False
21.1,26.4,218.1,True
24.6,32.7,266.8,True
22.4,25.0,178.3,False
25.0,32.7,228.6,False
30.9,32.9,144.3,False
22.7,30.3,234.8,True
32.9,18.5,258.7,True
25.9,32.0,238.0,False
26.2,19.2,236.3,True
24.8,22.5,166.2,False
27.6,29.4,278.4,True
23.7,23.1,144.3,False
25.6,28.7,274.0,True
22.1,31.6,156.7,False
23.1,24.9,251.3,True
21.3,24.2,160.6,False
27.3,25.3,240.6,True
31.2,30.4,167.3,False
30.9,28.2,243.0,False
21.3,31.4,227.5,True
19.3,30.6,265.5,True
27.7,30.4,163.8,False
33.0,25.2,170.7,False
28.8,30.1,231.3,False
28.9,28.8,154.1,False
31.6,20.8,157.6,False
26.1,22.9,206.8,False
25.0,30.5,233.9,True
29.9,29.5,253.3,False
22.4,25.8,271.3,True
23.0,22.3,232.9,True
21.3,20.8,254.9,True
27.4,28.4,149.6,False
31.9,21.3,228.3,False
19.0,31.5,270.0,True
19.4,20.2,235.0,True
27.1,32.3,155.0,False
20.2,28.2,208.7,True
21.4,27.3,219.8,True
23.4,30.8,140.7,False
22.2,28.6,148.7,False
32.8,23.8,274.2,True
22.2,25.6,213.2,True
18.9,22.2,214.4,True
30.7,27.2,209.5,False
29.1,24.0,154.6,False
20.0,28.5,270.7,True
30.5,28.3,226.2,False
20.6,20.8,219.8,True
21.8,33.0,225.3,True
19.0,22.0,219.6,True
26.5,27.7,258.0,True
32.6,19.2,212.3,False
20.3,30.2,211.8,True
26.6,26.3,230.0,True
32.9,22.5,234.1,False
25.0,25.2,149.0,False
19.1,21.5,170.3,True
24.7,24.8,161.1,False
23.8,30.2,142.8,False
31.7,18.4,168.4,False
32.4,32.9,211.3,False
27.8,22.2,142.4,False
26.8,29.6,275.4,True
24.3,32.6,185.4,False
32.6,21.8,264.0,True
31.5,20.7,158.5,False
26.2,29.8,263.6,True
23.3,32.9,212.0,False
28.4,19.8,144.7,False
25.4,26.7,167.3,False
22.7,21.6,176.6,False
20.0,27.2,249.8,True
27.8,23.1,218.3,False
19.5,31.2,143.3,False
31.4,27.8,239.5,False
22.0,25.1,175.7,False
31.3,25.4,167.4,False
22.8,23.5,229.3,True
32.9,27.2,174.2,False
32.8,32.4,140.3,False
29.6,19.4,162.0,False
18.9,19.7,166.7,True
19.5,30.6,242.6,True
26.6,21.6,230.0,True
30.9,24.7,257.2,False
30.0,24.9,267.0,True
29.7,24.4,187.7,False
33.0,27.1,230.6,False
27.4,32.9,152.6,False
26.1,20.1,262.2,True
26.4,28.1,140.3,False
31.0,22.9,193.1,False
25.8,30.4,250.1,True
25.8,20.4,215.8,True
26.3,22.7,228.8,True
30.0,24.9,175.0,False
23.1,20.9,269.0,True
27.9,21.1,161.0,False
